,region,long,lat,group,order,subregion,prop
71,alabama,-88.47614288,31.89082909,1,71,NA,0.580705009
70,alabama,-88.46468353,31.69602585,1,70,NA,0.580705009
69,alabama,-88.45322418,31.43246651,1,69,NA,0.580705009
68,alabama,-88.43030548,31.12306786,1,68,NA,0.580705009
72,alabama,-88.43030548,32.22314453,1,72,NA,0.580705009
73,alabama,-88.43030548,32.30908966,1,73,NA,0.580705009
67,alabama,-88.41884613,30.99701691,1,67,NA,0.580705009
66,alabama,-88.40738678,30.73345757,1,66,NA,0.580705009
65,alabama,-88.39020538,30.41259956,1,65,NA,0.580705009
74,alabama,-88.39020538,32.57838058,1,74,NA,0.580705009
64,alabama,-88.35009766,30.42406082,1,64,NA,0.580705009
75,alabama,-88.35009766,32.92215347,1,75,NA,0.580705009
76,alabama,-88.33863068,32.9851799,1,76,NA,0.580705009
63,alabama,-88.332901,30.40114212,1,63,NA,0.580705009
62,alabama,-88.31571198,30.40114212,1,62,NA,0.580705009
77,alabama,-88.29853058,33.2831192,1,77,NA,0.580705009
61,alabama,-88.2870636,30.40114212,1,61,NA,0.580705009
78,alabama,-88.27560425,33.52949142,1,78,NA,0.580705009
79,alabama,-88.25269318,33.73575592,1,79,NA,0.580705009
60,alabama,-88.23549652,30.39541054,1,60,NA,0.580705009
59,alabama,-88.2240448,30.37822342,1,59,NA,0.580705009
80,alabama,-88.20685577,34.06233978,1,80,NA,0.580705009
81,alabama,-88.20685577,34.07952881,1,81,NA,0.580705009
58,alabama,-88.18965912,30.35530472,1,58,NA,0.580705009
88,alabama,-88.18965912,34.99626541,1,88,NA,0.580705009
82,alabama,-88.18393707,34.31444168,1,82,NA,0.580705009
89,alabama,-88.18393707,35.01345062,1,89,NA,0.580705009
57,alabama,-88.17247772,30.33811569,1,57,NA,0.580705009
83,alabama,-88.16674805,34.46340942,1,83,NA,0.580705009
87,alabama,-88.16674805,34.95042801,1,87,NA,0.580705009
56,alabama,-88.16101837,30.33811569,1,56,NA,0.580705009
84,alabama,-88.14955139,34.5837326,1,84,NA,0.580705009
55,alabama,-88.14382935,30.34384537,1,55,NA,0.580705009
54,alabama,-88.13237,30.36103439,1,54,NA,0.580705009
86,alabama,-88.13237,34.90459061,1,86,NA,0.580705009
53,alabama,-88.12664032,30.38968086,1,53,NA,0.580705009
51,alabama,-88.12091064,30.48135567,1,51,NA,0.580705009
52,alabama,-88.12091064,30.44124794,1,52,NA,0.580705009
49,alabama,-88.11518097,30.58448792,1,49,NA,0.580705009
48,alabama,-88.10944366,30.59594536,1,48,NA,0.580705009
50,alabama,-88.10944366,30.55583763,1,50,NA,0.580705009
85,alabama,-88.10944366,34.89885712,1,85,NA,0.580705009
47,alabama,-88.09799194,30.60740662,1,47,NA,0.580705009
45,alabama,-88.08080292,30.63032532,1,45,NA,0.580705009
46,alabama,-88.08080292,30.61313629,1,46,NA,0.580705009
44,alabama,-88.06934357,30.68188858,1,44,NA,0.580705009
43,alabama,-88.06360626,30.68762016,1,43,NA,0.580705009
41,alabama,-88.05215454,30.72772598,1,41,NA,0.580705009
42,alabama,-88.05215454,30.71053886,1,42,NA,0.580705009
40,alabama,-88.04642487,30.75637627,1,40,NA,0.580705009
39,alabama,-88.03496552,30.79075241,1,39,NA,0.580705009
15,alabama,-88.01777649,30.25217056,1,15,NA,0.580705009
