"","REGION","EGEOLOC","q3_age","SUD_Type","StUD_Year","n","freq"
"1",1,4,"Adolescent","All",2009,6,0.0757002271006813
"2",1,4,"Adolescent","All",2010,5,0.0630835225839011
"3",1,4,"Adolescent","All",2011,5,0.0630835225839011
"4",1,4,"Adolescent","All",2012,5,0.0630835225839011
"5",1,4,"Adolescent","All",2013,6,0.0757002271006813
"6",1,4,"Adolescent","All",2014,4,0.0504668180671209
"7",1,4,"Adolescent","All",2015,1,0.0126167045167802
"8",1,4,"Adolescent","Cocaine",2009,14,0.176633863234923
"9",1,4,"Adolescent","Cocaine",2010,17,0.214483976785264
"10",1,4,"Adolescent","Cocaine",2011,10,0.126167045167802
"11",1,4,"Adolescent","Cocaine",2012,9,0.113550340651022
"12",1,4,"Adolescent","Cocaine",2013,9,0.113550340651022
"13",1,4,"Adolescent","Cocaine",2014,7,0.0883169316174615
"14",1,4,"Adolescent","Cocaine",2015,3,0.0378501135503407
"15",1,5,"Adolescent","All",2009,3,0.0378501135503407
"16",1,5,"Adolescent","All",2010,3,0.0378501135503407
"17",1,5,"Adolescent","All",2011,3,0.0378501135503407
"18",1,5,"Adolescent","All",2012,7,0.0883169316174615
"19",1,5,"Adolescent","All",2013,1,0.0126167045167802
"20",1,5,"Adolescent","All",2015,1,0.0126167045167802
"21",1,5,"Adolescent","Cocaine",2010,1,0.0126167045167802
"22",1,5,"Adolescent","Cocaine",2011,4,0.0504668180671209
"23",1,5,"Adolescent","Cocaine",2012,2,0.0252334090335604
"24",1,5,"Adolescent","Cocaine",2013,1,0.0126167045167802
"25",1,5,"Adolescent","Cocaine",2014,1,0.0126167045167802
"26",1,6,"Adolescent","All",2009,6,0.0757002271006813
"27",1,6,"Adolescent","All",2010,4,0.0504668180671209
"28",1,6,"Adolescent","All",2011,9,0.113550340651022
"29",1,6,"Adolescent","All",2012,8,0.100933636134242
"30",1,6,"Adolescent","All",2013,7,0.0883169316174615
"31",1,6,"Adolescent","All",2014,2,0.0252334090335604
"32",1,6,"Adolescent","All",2015,4,0.0504668180671209
"33",1,6,"Adolescent","Cocaine",2009,5,0.0630835225839011
"34",1,6,"Adolescent","Cocaine",2010,4,0.0504668180671209
"35",1,6,"Adolescent","Cocaine",2011,7,0.0883169316174615
"36",1,6,"Adolescent","Cocaine",2012,11,0.138783749684582
"37",1,6,"Adolescent","Cocaine",2013,6,0.0757002271006813
"38",1,6,"Adolescent","Cocaine",2014,6,0.0757002271006813
"39",1,6,"Adolescent","Cocaine",2015,4,0.0504668180671209
"40",1,7,"Adolescent","All",2009,5,0.0630835225839011
"41",1,7,"Adolescent","All",2010,2,0.0252334090335604
"42",1,7,"Adolescent","All",2011,4,0.0504668180671209
"43",1,7,"Adolescent","All",2012,2,0.0252334090335604
"44",1,7,"Adolescent","All",2014,3,0.0378501135503407
"45",1,7,"Adolescent","All",2015,1,0.0126167045167802
"46",1,7,"Adolescent","Cocaine",2009,5,0.0630835225839011
"47",1,7,"Adolescent","Cocaine",2010,3,0.0378501135503407
"48",1,7,"Adolescent","Cocaine",2011,3,0.0378501135503407
"49",1,7,"Adolescent","Cocaine",2012,3,0.0378501135503407
"50",1,7,"Adolescent","Cocaine",2013,1,0.0126167045167802
"51",1,7,"Adolescent","Cocaine",2014,3,0.0378501135503407
"52",1,8,"Adolescent","All",2010,1,0.0126167045167802
"53",1,8,"Adolescent","All",2011,2,0.0252334090335604
"54",1,8,"Adolescent","All",2012,4,0.0504668180671209
"55",1,8,"Adolescent","All",2013,1,0.0126167045167802
"56",1,8,"Adolescent","Cocaine",2010,3,0.0378501135503407
"57",1,8,"Adolescent","Cocaine",2011,2,0.0252334090335604
"58",1,8,"Adolescent","Cocaine",2012,1,0.0126167045167802
"59",1,8,"Adolescent","Cocaine",2014,1,0.0126167045167802
"60",1,11,"Adolescent","All",2009,4,0.0504668180671209
"61",1,11,"Adolescent","All",2010,9,0.113550340651022
"62",1,11,"Adolescent","All",2011,13,0.164017158718143
"63",1,11,"Adolescent","All",2012,8,0.100933636134242
"64",1,11,"Adolescent","All",2013,11,0.138783749684582
"65",1,11,"Adolescent","All",2014,12,0.151400454201363
"66",1,11,"Adolescent","All",2015,2,0.0252334090335604
"67",1,11,"Adolescent","Cocaine",2009,8,0.100933636134242
"68",1,11,"Adolescent","Cocaine",2010,16,0.201867272268483
"69",1,11,"Adolescent","Cocaine",2011,16,0.201867272268483
"70",1,11,"Adolescent","Cocaine",2012,15,0.189250567751703
"71",1,11,"Adolescent","Cocaine",2013,9,0.113550340651022
"72",1,11,"Adolescent","Cocaine",2014,7,0.0883169316174615
"73",1,11,"Adolescent","Cocaine",2015,4,0.0504668180671209
"74",1,12,"Adolescent","All",2009,6,0.0757002271006813
"75",1,12,"Adolescent","All",2010,28,0.353267726469846
"76",1,12,"Adolescent","All",2011,33,0.416351249053747
"77",1,12,"Adolescent","All",2012,44,0.555134998738329
"78",1,12,"Adolescent","All",2013,48,0.60560181680545
"79",1,12,"Adolescent","All",2014,31,0.391117840020187
"80",1,12,"Adolescent","All",2015,29,0.365884430986626
"81",1,12,"Adolescent","Cocaine",2009,25,0.315417612919505
"82",1,12,"Adolescent","Cocaine",2010,42,0.529901589704769
"83",1,12,"Adolescent","Cocaine",2011,82,1.03456977037598
"84",1,12,"Adolescent","Cocaine",2012,88,1.11026999747666
"85",1,12,"Adolescent","Cocaine",2013,66,0.832702498107494
"86",1,12,"Adolescent","Cocaine",2014,53,0.668685339389352
"87",1,12,"Adolescent","Cocaine",2015,38,0.479434771637648
"88",1,13,"Adolescent","All",2009,18,0.227100681302044
"89",1,13,"Adolescent","All",2010,33,0.416351249053747
"90",1,13,"Adolescent","All",2011,33,0.416351249053747
"91",1,13,"Adolescent","All",2012,35,0.441584658087308
"92",1,13,"Adolescent","All",2013,7,0.0883169316174615
"93",1,13,"Adolescent","All",2014,24,0.302800908402725
"94",1,13,"Adolescent","All",2015,11,0.138783749684582
"95",1,13,"Adolescent","Cocaine",2009,34,0.428967953570527
"96",1,13,"Adolescent","Cocaine",2010,47,0.59298511228867
"97",1,13,"Adolescent","Cocaine",2011,38,0.479434771637648
"98",1,13,"Adolescent","Cocaine",2012,31,0.391117840020187
"99",1,13,"Adolescent","Cocaine",2013,11,0.138783749684582
"100",1,13,"Adolescent","Cocaine",2014,19,0.239717385818824
"101",1,13,"Adolescent","Cocaine",2015,10,0.126167045167802
"102",2,16,"Adolescent","All",2009,30,0.378501135503407
"103",2,16,"Adolescent","All",2010,30,0.378501135503407
"104",2,16,"Adolescent","All",2011,56,0.706535452939692
"105",2,16,"Adolescent","All",2012,59,0.744385566490033
"106",2,16,"Adolescent","All",2013,17,0.214483976785264
"107",2,16,"Adolescent","All",2014,16,0.201867272268483
"108",2,16,"Adolescent","All",2015,14,0.176633863234923
"109",2,16,"Adolescent","Cocaine",2009,47,0.59298511228867
"110",2,16,"Adolescent","Cocaine",2010,82,1.03456977037598
"111",2,16,"Adolescent","Cocaine",2011,57,0.719152157456472
"112",2,16,"Adolescent","Cocaine",2012,53,0.668685339389352
"113",2,16,"Adolescent","Cocaine",2013,7,0.0883169316174615
"114",2,16,"Adolescent","Cocaine",2014,9,0.113550340651022
"115",2,16,"Adolescent","Cocaine",2015,6,0.0757002271006813
"116",2,17,"Adolescent","All",2009,10,0.126167045167802
"117",2,17,"Adolescent","All",2010,21,0.264950794852385
"118",2,17,"Adolescent","All",2011,37,0.466818067120868
"119",2,17,"Adolescent","All",2012,21,0.264950794852385
"120",2,17,"Adolescent","All",2013,16,0.201867272268483
"121",2,17,"Adolescent","All",2014,18,0.227100681302044
"122",2,17,"Adolescent","All",2015,6,0.0757002271006813
"123",2,17,"Adolescent","Cocaine",2009,5,0.0630835225839011
"124",2,17,"Adolescent","Cocaine",2010,8,0.100933636134242
"125",2,17,"Adolescent","Cocaine",2011,16,0.201867272268483
"126",2,17,"Adolescent","Cocaine",2012,8,0.100933636134242
"127",2,17,"Adolescent","Cocaine",2013,8,0.100933636134242
"128",2,17,"Adolescent","Cocaine",2014,7,0.0883169316174615
"129",2,17,"Adolescent","Cocaine",2015,2,0.0252334090335604
"130",2,18,"Adolescent","All",2009,8,0.100933636134242
"131",2,18,"Adolescent","All",2010,18,0.227100681302044
"132",2,18,"Adolescent","All",2011,9,0.113550340651022
"133",2,18,"Adolescent","All",2012,16,0.201867272268483
"134",2,18,"Adolescent","All",2013,21,0.264950794852385
"135",2,18,"Adolescent","All",2014,15,0.189250567751703
"136",2,18,"Adolescent","All",2015,10,0.126167045167802
"137",2,18,"Adolescent","Cocaine",2009,4,0.0504668180671209
"138",2,18,"Adolescent","Cocaine",2010,15,0.189250567751703
"139",2,18,"Adolescent","Cocaine",2011,10,0.126167045167802
"140",2,18,"Adolescent","Cocaine",2012,4,0.0504668180671209
"141",2,18,"Adolescent","Cocaine",2013,7,0.0883169316174615
"142",2,18,"Adolescent","Cocaine",2014,10,0.126167045167802
"143",2,18,"Adolescent","Cocaine",2015,13,0.164017158718143
"144",2,19,"Adolescent","All",2009,8,0.100933636134242
"145",2,19,"Adolescent","All",2010,14,0.176633863234923
"146",2,19,"Adolescent","All",2011,17,0.214483976785264
"147",2,19,"Adolescent","All",2012,26,0.328034317436286
"148",2,19,"Adolescent","All",2013,28,0.353267726469846
"149",2,19,"Adolescent","All",2014,14,0.176633863234923
"150",2,19,"Adolescent","All",2015,11,0.138783749684582
"151",2,19,"Adolescent","Cocaine",2009,12,0.151400454201363
"152",2,19,"Adolescent","Cocaine",2010,14,0.176633863234923
"153",2,19,"Adolescent","Cocaine",2011,26,0.328034317436286
"154",2,19,"Adolescent","Cocaine",2012,19,0.239717385818824
"155",2,19,"Adolescent","Cocaine",2013,19,0.239717385818824
"156",2,19,"Adolescent","Cocaine",2014,11,0.138783749684582
"157",2,19,"Adolescent","Cocaine",2015,8,0.100933636134242
"158",2,20,"Adolescent","All",2009,3,0.0378501135503407
"159",2,20,"Adolescent","All",2010,17,0.214483976785264
"160",2,20,"Adolescent","All",2011,14,0.176633863234923
"161",2,20,"Adolescent","All",2012,8,0.100933636134242
"162",2,20,"Adolescent","All",2013,12,0.151400454201363
"163",2,20,"Adolescent","All",2014,15,0.189250567751703
"164",2,20,"Adolescent","All",2015,10,0.126167045167802
"165",2,20,"Adolescent","Cocaine",2009,2,0.0252334090335604
