"","SUD_Type","q3_age","StUD_Year","REGION","EGEOLOC","n"
"1","All","Adolescent",2009,1,4,6
"2","All","Adolescent",2009,1,5,3
"3","All","Adolescent",2009,1,6,6
"4","All","Adolescent",2009,1,7,5
"5","All","Adolescent",2009,1,11,4
"6","All","Adolescent",2009,1,12,6
"7","All","Adolescent",2009,1,13,18
"8","All","Adolescent",2009,2,16,30
"9","All","Adolescent",2009,2,17,10
"10","All","Adolescent",2009,2,18,8
"11","All","Adolescent",2009,2,19,8
"12","All","Adolescent",2009,2,20,3
"13","All","Adolescent",2009,2,22,9
"14","All","Adolescent",2009,2,23,1
"15","All","Adolescent",2009,2,24,6
"16","All","Adolescent",2009,2,25,2
"17","All","Adolescent",2009,2,26,3
"18","All","Adolescent",2009,2,28,3
"19","All","Adolescent",2009,3,33,5
"20","All","Adolescent",2009,3,34,8
"21","All","Adolescent",2009,3,35,7
"22","All","Adolescent",2009,3,36,3
"23","All","Adolescent",2009,3,37,3
"24","All","Adolescent",2009,3,38,7
"25","All","Adolescent",2009,3,39,2
"26","All","Adolescent",2009,3,41,4
"27","All","Adolescent",2009,3,42,5
"28","All","Adolescent",2009,3,44,1
"29","All","Adolescent",2009,3,46,2
"30","All","Adolescent",2009,3,47,1
"31","All","Adolescent",2009,3,48,7
"32","All","Adolescent",2009,3,49,52
"33","All","Adolescent",2009,4,52,10
"34","All","Adolescent",2009,4,53,4
"35","All","Adolescent",2009,4,54,2
"36","All","Adolescent",2009,4,55,2
"37","All","Adolescent",2009,4,56,3
"38","All","Adolescent",2009,4,57,13
"39","All","Adolescent",2009,4,58,7
"40","All","Adolescent",2009,4,61,1
"41","All","Adolescent",2009,4,62,90
"42","All","Adolescent",2009,4,64,13
"43","All","Adolescent",2009,4,65,14
"44","All","Adolescent",2009,5,1,5
"45","All","Adolescent",2009,5,13,1
"46","All","Adolescent",2009,5,16,1
"47","All","Adolescent",2009,5,17,3
"48","All","Adolescent",2009,5,19,4
"49","All","Adolescent",2009,5,62,2
"50","All","Adolescent",2010,1,4,5
"51","All","Adolescent",2010,1,5,3
"52","All","Adolescent",2010,1,6,4
"53","All","Adolescent",2010,1,7,2
"54","All","Adolescent",2010,1,8,1
"55","All","Adolescent",2010,1,11,9
"56","All","Adolescent",2010,1,12,28
"57","All","Adolescent",2010,1,13,33
"58","All","Adolescent",2010,2,16,30
"59","All","Adolescent",2010,2,17,21
"60","All","Adolescent",2010,2,18,18
"61","All","Adolescent",2010,2,19,14
"62","All","Adolescent",2010,2,20,17
"63","All","Adolescent",2010,2,22,10
"64","All","Adolescent",2010,2,23,5
"65","All","Adolescent",2010,2,24,16
"66","All","Adolescent",2010,2,25,11
"67","All","Adolescent",2010,2,26,4
"68","All","Adolescent",2010,2,27,1
"69","All","Adolescent",2010,3,32,2
"70","All","Adolescent",2010,3,33,13
"71","All","Adolescent",2010,3,34,16
"72","All","Adolescent",2010,3,35,3
"73","All","Adolescent",2010,3,36,3
"74","All","Adolescent",2010,3,37,12
"75","All","Adolescent",2010,3,38,6
"76","All","Adolescent",2010,3,39,3
"77","All","Adolescent",2010,3,41,5
"78","All","Adolescent",2010,3,42,6
"79","All","Adolescent",2010,3,43,3
"80","All","Adolescent",2010,3,44,6
"81","All","Adolescent",2010,3,46,3
"82","All","Adolescent",2010,3,47,3
"83","All","Adolescent",2010,3,48,11
"84","All","Adolescent",2010,3,49,90
"85","All","Adolescent",2010,4,52,20
"86","All","Adolescent",2010,4,53,8
"87","All","Adolescent",2010,4,54,2
"88","All","Adolescent",2010,4,55,5
"89","All","Adolescent",2010,4,56,4
"90","All","Adolescent",2010,4,57,16
"91","All","Adolescent",2010,4,58,11
"92","All","Adolescent",2010,4,59,2
"93","All","Adolescent",2010,4,62,229
"94","All","Adolescent",2010,4,63,1
"95","All","Adolescent",2010,4,64,18
"96","All","Adolescent",2010,4,65,29
"97","All","Adolescent",2010,5,1,2
"98","All","Adolescent",2010,5,4,1
"99","All","Adolescent",2010,5,11,1
"100","All","Adolescent",2010,5,12,3
"101","All","Adolescent",2010,5,16,1
"102","All","Adolescent",2010,5,17,7
"103","All","Adolescent",2010,5,18,2
"104","All","Adolescent",2010,5,19,6
"105","All","Adolescent",2010,5,20,1
"106","All","Adolescent",2010,5,24,3
"107","All","Adolescent",2010,5,25,2
"108","All","Adolescent",2010,5,28,1
"109","All","Adolescent",2010,5,33,1
"110","All","Adolescent",2010,5,38,5
"111","All","Adolescent",2010,5,42,1
"112","All","Adolescent",2010,5,46,1
"113","All","Adolescent",2010,5,52,2
"114","All","Adolescent",2010,5,57,1
"115","All","Adolescent",2010,5,62,3
"116","All","Adolescent",2010,5,64,1
"117","All","Adolescent",2011,1,4,5
"118","All","Adolescent",2011,1,5,3
"119","All","Adolescent",2011,1,6,9
"120","All","Adolescent",2011,1,7,4
"121","All","Adolescent",2011,1,8,2
"122","All","Adolescent",2011,1,11,13
"123","All","Adolescent",2011,1,12,33
"124","All","Adolescent",2011,1,13,33
"125","All","Adolescent",2011,2,16,56
"126","All","Adolescent",2011,2,17,37
"127","All","Adolescent",2011,2,18,9
"128","All","Adolescent",2011,2,19,17
"129","All","Adolescent",2011,2,20,14
"130","All","Adolescent",2011,2,22,10
"131","All","Adolescent",2011,2,23,6
"132","All","Adolescent",2011,2,24,19
"133","All","Adolescent",2011,2,25,11
"134","All","Adolescent",2011,2,26,2
"135","All","Adolescent",2011,2,27,2
"136","All","Adolescent",2011,2,28,1
"137","All","Adolescent",2011,3,6,1
"138","All","Adolescent",2011,3,32,1
"139","All","Adolescent",2011,3,33,11
"140","All","Adolescent",2011,3,34,32
"141","All","Adolescent",2011,3,35,5
"142","All","Adolescent",2011,3,36,10
"143","All","Adolescent",2011,3,37,19
"144","All","Adolescent",2011,3,38,7
"145","All","Adolescent",2011,3,39,9
"146","All","Adolescent",2011,3,41,4
"147","All","Adolescent",2011,3,42,5
"148","All","Adolescent",2011,3,43,1
"149","All","Adolescent",2011,3,44,9
"150","All","Adolescent",2011,3,46,2
"151","All","Adolescent",2011,3,47,11
"152","All","Adolescent",2011,3,48,21
"153","All","Adolescent",2011,3,49,85
"154","All","Adolescent",2011,4,52,16
"155","All","Adolescent",2011,4,53,17
"156","All","Adolescent",2011,4,54,10
"157","All","Adolescent",2011,4,55,6
"158","All","Adolescent",2011,4,56,9
"159","All","Adolescent",2011,4,57,17
"160","All","Adolescent",2011,4,58,8
"161","All","Adolescent",2011,4,59,1
"162","All","Adolescent",2011,4,61,3
"163","All","Adolescent",2011,4,62,161
"164","All","Adolescent",2011,4,64,17
"165","All","Adolescent",2011,4,65,48
"166","All","Adolescent",2011,5,1,2
"167","All","Adolescent",2011,5,4,1
"168","All","Adolescent",2011,5,12,1
"169","All","Adolescent",2011,5,13,1
"170","All","Adolescent",2011,5,16,1
"171","All","Adolescent",2011,5,17,5
"172","All","Adolescent",2011,5,19,2
"173","All","Adolescent",2011,5,20,2
"174","All","Adolescent",2011,5,22,1
"175","All","Adolescent",2011,5,24,1
"176","All","Adolescent",2011,5,25,1
"177","All","Adolescent",2011,5,35,1
"178","All","Adolescent",2011,5,37,1
"179","All","Adolescent",2011,5,38,4
"180","All","Adolescent",2011,5,39,2
"181","All","Adolescent",2011,5,42,2
"182","All","Adolescent",2011,5,44,1
"183","All","Adolescent",2011,5,49,2
"184","All","Adolescent",2011,5,52,2
"185","All","Adolescent",2011,5,57,1
"186","All","Adolescent",2011,5,58,1
"187","All","Adolescent",2011,5,62,2
"188","All","Adolescent",2011,5,65,2
"189","All","Adolescent",2012,1,4,5
"190","All","Adolescent",2012,1,5,7
"191","All","Adolescent",2012,1,6,8
"192","All","Adolescent",2012,1,7,2
"193","All","Adolescent",2012,1,8,4
"194","All","Adolescent",2012,1,11,8
"195","All","Adolescent",2012,1,12,44
"196","All","Adolescent",2012,1,13,35
"197","All","Adolescent",2012,2,16,59
"198","All","Adolescent",2012,2,17,21
"199","All","Adolescent",2012,2,18,16
"200","All","Adolescent",2012,2,19,26
"201","All","Adolescent",2012,2,20,8
"202","All","Adolescent",2012,2,22,9
"203","All","Adolescent",2012,2,23,15
"204","All","Adolescent",2012,2,24,18
"205","All","Adolescent",2012,2,25,18
"206","All","Adolescent",2012,2,26,5
"207","All","Adolescent",2012,2,27,2
"208","All","Adolescent",2012,2,28,3
"209","All","Adolescent",2012,3,32,2
"210","All","Adolescent",2012,3,33,18
"211","All","Adolescent",2012,3,34,14
"212","All","Adolescent",2012,3,35,4
"213","All","Adolescent",2012,3,36,12
"214","All","Adolescent",2012,3,37,15
"215","All","Adolescent",2012,3,38,4
"216","All","Adolescent",2012,3,39,4
"217","All","Adolescent",2012,3,41,5
